"TE","TE_fam","TE_class","signif","TE_pos","lncRNA_name","lncRNA_pos","sex"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-229","3:34508383-34735099","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-234","3:34562642-34732144","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-233","3:34562642-34732146","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-217","3:34614314-34732146","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-222","3:34614324-34732144","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-223","3:34614515-34732140","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-210","3:34614530-34732144","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-306","3:34614559-34736919","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-238","3:34630957-34747814","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-248","3:34656446-34758556","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-250","3:34656467-34747074","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-252","3:34656511-34746996","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-205","3:34691318-34732142","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-268","3:34691329-34732146","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-269","3:34692134-34732146","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-270","3:34692301-34732146","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-219","3:34692306-34732146","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-207","3:34692323-34732149","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-265","3:34692371-34735269","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-263","3:34692371-34736917","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-215","3:34692401-34735000","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-266","3:34692440-34735272","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-216","3:34692446-34735222","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-264","3:34692450-34736909","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-267","3:34692484-34735222","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-245","3:34692507-34789489","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-275","3:34707057-34732164","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-274","3:34707211-34735099","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-213","3:34710185-34732143","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-209","3:34719392-34732144","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-283","3:34723157-34732140","female"
"B2_Mm2_11_87015106","SINE","B2","Down","11:87015107-87015282","Gm11491-202","11:87012370-87017851","female"
"B2_Mm2_11_87015106","SINE","B2","Down","11:87015107-87015282","Gm11491-203","11:87012370-87017854","female"
"B2_Mm2_11_87015106","SINE","B2","Down","11:87015107-87015282","Gm11491-201","11:87012393-87017731","female"
"B2_Mm2_11_87015106","SINE","B2","Down","11:87015107-87015282","Gm11491-204","11:87014370-87017846","female"
"B2_Mm2_11_87015106","SINE","B2","Down","11:87015107-87015282","Gm11491-205","11:87014385-87017827","female"
"B2_Mm2_11_87015106","SINE","B2","Down","11:87015107-87015282","Gm11491-206","11:87014389-87017793","female"
"B2_Mm2_11_87015106","SINE","B2","Down","11:87015107-87015282","Gm11491-208","11:87014393-87017736","female"
"B2_Mm2_11_87015106","SINE","B2","Down","11:87015107-87015282","Gm11491-207","11:87014396-87017774","female"
"B3A_15_81700374","SINE","B2","Up","15:81700375-81700484","Gm62928-201","15:81700361-81723228","female"
"B3_19_3915084","SINE","B2","Up","19:3915085-3915265","Gm50383-201","19:3913568-3917673","female"
"B3_4_42928288","SINE","B2","Up","4:42928289-42928498","Gm68316-201","4:42924187-42933815","female"
"B3_7_73388095","SINE","B2","Up","7:73388096-73388258","Gm74159-201","7:73355527-73390048","female"
"B3_7_73388095","SINE","B2","Up","7:73388096-73388258","A830073O21Rik-202","7:73387677-73390772","female"
"B4_12_70305119","SINE","B4","Up","12:70305120-70305429","Gm48747-201","12:70297939-70322371","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-206","1:9568995-9701385","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-201","1:9630561-9701618","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-207","1:9631684-9701530","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-202","1:9633713-9701416","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-209","1:9633714-9701386","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-208","1:9633714-9701409","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-210","1:9633716-9701367","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-204","1:9670638-9701369","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-205","1:9671238-9701416","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-222","1:9671245-9697931","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-221","1:9671245-9697950","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-218","1:9671245-9701409","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-217","1:9671245-9707225","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-220","1:9671247-9701392","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-219","1:9671247-9701395","female"
"B4_1_9684752","SINE","B4","Up","1:9684753-9685028","2610203C22Rik-203","1:9673660-9701389","female"
"B4_4_42930711","SINE","B4","Up","4:42930712-42930979","Gm68316-201","4:42924187-42933815","female"
"BC1_Mm_16_33590862","scRNA","scRNA","Down","16:33590863-33590968","Gm15657-210","16:33590790-33593398","female"
"BC1_Mm_16_33590862","scRNA","scRNA","Down","16:33590863-33590968","Gm15657-212","16:33590794-33593354","female"
"BC1_Mm_16_33590862","scRNA","scRNA","Down","16:33590863-33590968","Gm15657-211","16:33590794-33593388","female"
"BC1_Mm_16_33590862","scRNA","scRNA","Down","16:33590863-33590968","Gm15657-201","16:33590794-33607482","female"
"BC1_Mm_16_33590862","scRNA","scRNA","Down","16:33590863-33590968","Gm15657-208","16:33590794-33607489","female"
"BC1_Mm_16_33590862","scRNA","scRNA","Down","16:33590863-33590968","Gm15657-207","16:33590794-33614807","female"
"BC1_Mm_16_33590862","scRNA","scRNA","Down","16:33590863-33590968","Gm15657-206","16:33590794-33614808","female"
"IAPEz-int_11_116281874","LTR","ERVK","Down","11:116281875-116285143","Gm74436-201","11:116280355-116285483","female"
"IAPEz-int_11_116281874","LTR","ERVK","Down","11:116281875-116285143","Gm74436-202","11:116280451-116285481","female"
"IAPEz-int_5_142991945","LTR","ERVK","Down","5:142991946-142994872","Gm73718-201","5:142990558-142995177","female"
"ID4_X_102521297","SINE","ID","Up","X:102521298-102521374","Tsix-201","X:102475123-102528563","female"
"ID4_X_102521297","SINE","ID","Up","X:102521298-102521374","Tsix-203","X:102481473-102533554","female"
"ID4_X_102521297","SINE","ID","Up","X:102521298-102521374","Tsix-204","X:102491324-102533557","female"
"ID4_X_102521297","SINE","ID","Up","X:102521298-102521374","Tsix-202","X:102491328-102526012","female"
"ID4_X_102521297","SINE","ID","Up","X:102521298-102521374","Tsix-205","X:102491721-102533553","female"
"ID4_X_102521297","SINE","ID","Up","X:102521298-102521374","Xist-201","X:102503972-102526860","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-224","3:34250980-34736919","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-225","3:34251077-34732142","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-227","3:34466182-34732144","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-226","3:34466182-34732146","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-208","3:34466182-34736768","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-229","3:34508383-34735099","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-234","3:34562642-34732144","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-233","3:34562642-34732146","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-217","3:34614314-34732146","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-222","3:34614324-34732144","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-223","3:34614515-34732140","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-210","3:34614530-34732144","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-306","3:34614559-34736919","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-238","3:34630957-34747814","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-248","3:34656446-34758556","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-250","3:34656467-34747074","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-252","3:34656511-34746996","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-205","3:34691318-34732142","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-268","3:34691329-34732146","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-269","3:34692134-34732146","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-270","3:34692301-34732146","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-219","3:34692306-34732146","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-207","3:34692323-34732149","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-265","3:34692371-34735269","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-263","3:34692371-34736917","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-215","3:34692401-34735000","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-266","3:34692440-34735272","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-216","3:34692446-34735222","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-264","3:34692450-34736909","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-267","3:34692484-34735222","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-245","3:34692507-34789489","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-275","3:34707057-34732164","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-274","3:34707211-34735099","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-213","3:34710185-34732143","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-209","3:34719392-34732144","female"
"ID_B1_3_34731187","SINE","B4","Down","3:34731188-34731266","Sox2ot-283","3:34723157-34732140","female"
"IMPB_01_2_66240349","Satellite","Satellite","Up","2:66240350-66240416","Gm13630-202","2:66239217-66241431","female"
"IMPB_01_2_66240349","Satellite","Satellite","Up","2:66240350-66240416","Gm13630-201","2:66239838-66251932","female"
"IMPB_01_2_66240349","Satellite","Satellite","Up","2:66240350-66240416","Gm13630-203","2:66240019-66241434","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-207","6:128146667-128177575","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-208","6:128149080-128177581","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-201","6:128164781-128177621","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-202","6:128165981-128177642","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-204","6:128165981-128177653","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-209","6:128165985-128177608","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-206","6:128165985-128177609","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-205","6:128165987-128177608","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-211","6:128166436-128177608","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-210","6:128166436-128177634","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-221","6:128166437-128177548","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-224","6:128166451-128177429","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-223","6:128166453-128177545","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-213","6:128166453-128177608","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-212","6:128166453-128177613","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-203","6:128166455-128177611","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-214","6:128166460-128177609","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-219","6:128166463-128177586","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-220","6:128166463-128177586","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-218","6:128166463-128177601","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-215","6:128166463-128177608","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-217","6:128166463-128177608","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-216","6:128166463-128177611","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-222","6:128166508-128177608","female"
"L1Lx_IV_6_128171896","LINE","L1","Up","6:128171897-128174504","Gm10010-225","6:128166905-128177543","female"
"L1Lx_I_9_8670462","LINE","L1","Up","9:8670463-8672923","Gm32014-204","9:8606522-8752220","female"
"L1Lx_I_9_8670462","LINE","L1","Up","9:8670463-8672923","Gm32014-202","9:8644074-8740989","female"
"L1M2_7_58908777","LINE","L1","Down","7:58908778-58909436","Gm44562-201","7:58908603-58909949","female"
"L1MDa_X_12908145","LINE","L1","Up","X:12908146-12908678","5730405O15Rik-201","X:12907989-12911536","female"
"L1MEi_9_120008378","LINE","L1","Down","9:120008379-120008641","Gm38642-201","9:120008104-120108237","female"
"L1MdMus_II_7_61586004","LINE","L1","Up","7:61586005-61587141","A330076H08Rik-204","7:61577515-61632219","female"
"L1MdMus_II_7_61586004","LINE","L1","Up","7:61586005-61587141","A330076H08Rik-203","7:61579885-61632106","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-204","4:42734941-42846264","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-213","4:42734974-42830364","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-214","4:42734974-42830364","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-205","4:42734981-42846264","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-215","4:42734983-42830366","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-203","4:42735001-42872626","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-216","4:42735015-42830364","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-206","4:42735540-42846264","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-207","4:42735542-42846264","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-218","4:42735547-42830358","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-217","4:42735549-42830364","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-208","4:42735553-42846264","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-219","4:42735555-42830364","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-209","4:42735562-42846264","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-210","4:42735575-42846264","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-220","4:42735586-42830358","female"
"L1MdV_III_4_42822443","LINE","L1","Up","4:42822444-42824687","4930578G10Rik-201","4:42735912-42846248","female"
"L2_6_113262060","LINE","L2","Up","6:113262061-113262525","Gm15492-202","6:113258122-113303716","female"
"L2_6_113264223","LINE","L2","Up","6:113264224-113264710","Gm15492-202","6:113258122-113303716","female"
"L3b_5_14763662","LINE","CR1","Up","5:14763663-14763713","Gm26954-202","5:14746999-14773678","female"
"LSU-rRNA_Hsa_14_104953212","rRNA","rRNA","Down","14:104953213-104953514","D130009I18Rik-201","14:104850227-105154875","female"
"LSU-rRNA_Hsa_14_104953212","rRNA","rRNA","Down","14:104953213-104953514","D130009I18Rik-206","14:104876560-104968267","female"
"LSU-rRNA_Hsa_14_104953212","rRNA","rRNA","Down","14:104953213-104953514","D130009I18Rik-203","14:104876560-105105518","female"
"LSU-rRNA_Hsa_14_104953212","rRNA","rRNA","Down","14:104953213-104953514","D130009I18Rik-204","14:104876560-105152665","female"
"LSU-rRNA_Hsa_14_104953212","rRNA","rRNA","Down","14:104953213-104953514","D130009I18Rik-202","14:104876580-105204219","female"
"LSU-rRNA_Hsa_3_5925378","rRNA","rRNA","Down","3:5925379-5925882","Gm37350-202","3:5878473-5950421","female"
"LTR33_1_132528193","LTR","ERVL","Up","1:132528194-132528390","Gm71019-201","1:132514726-132533051","female"
"Lx5_4_42907826","LINE","L1","Up","4:42907827-42911558","Gm52697-201","4:42894661-42912882","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-204","7:113129674-113164212","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-203","7:113129674-113164218","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-205","7:113129690-113164201","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-214","7:113129691-113164173","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-215","7:113129691-113164173","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-211","7:113129691-113164183","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-212","7:113129691-113164183","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-210","7:113129691-113164185","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-209","7:113129691-113164189","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-208","7:113129691-113164193","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-206","7:113129691-113164194","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-207","7:113129691-113164194","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-213","7:113129694-113164185","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-216","7:113129694-113164201","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-202","7:113129696-113155557","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-201","7:113137233-113164194","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-217","7:113143480-113164180","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-218","7:113146507-113164173","female"
"Lx8_7_113154839","LINE","L1","Up","7:113154840-113155095","Far1os-219","7:113154085-113164185","female"
"MER58A_19_10402151","DNA","hAT-Charlie","Up","19:10402152-10402380","Gm59152-201","19:10399173-10410691","female"
"MERVL_2A-int_7_25242969","LTR","ERVL","Up","7:25242970-25247535","4732471J01Rik-206","7:25076203-25274499","female"
"MERVL_2A-int_7_25242969","LTR","ERVL","Up","7:25242970-25247535","4732471J01Rik-207","7:25076207-25274503","female"
"MERVL_2A-int_7_25242969","LTR","ERVL","Up","7:25242970-25247535","4732471J01Rik-210","7:25076225-25274499","female"
